ID;Screen Name;Key Features;;
M1;Splash Screen;App logo, loading animation, version check;;
M2;Onboarding Screens;Feature introduction, swipe carousel, skip option;;
M3;Login Screen;Email/password, social login, biometric login, forgot password;;
M4;Registration Screen;Sign up form, social signup, terms acceptance;;
M5;Forgot Password Screen;Email input, send reset link, back to login;;
M6;Home Screen;Featured products, categories, search, notifications badge, bottom nav;;
M7;Search Screen;Search bar, filters, recent searches, suggestions, voice search;;
M8;Categories Screen;All categories grid, icons, product counts;;
M9;Account/Profile Screen;User info, menu options, settings, logout;;
M10;Product Listing Screen;Product grid/list, filters drawer, sort options, pull to refresh;;
M11;Product Detail Screen;Image carousel, zoom, specs, price, add to cart, share, reviews;;
M12;Shopping Cart Screen;Cart items, swipe to delete, quantity controls, checkout button;;
M13;Checkout Screen;Address selection, delivery options, payment method, order summary;;
M14;Payment Screen;Payment form, saved cards, security badges, pay button;;
M15;Order Success Screen;Order confirmation, order number, track order, home button;;
M16;My Orders Screen;Order list, filter by status, search orders, order cards;;
M17;Order Detail Screen;Order items, status timeline, tracking, invoice download, contact seller;;
M18;Order Tracking Screen;Map view, delivery status, carrier info, contact driver;;
M19;Wishlist Screen;Saved products, remove items, add to cart, share;;
M20;Profile Edit Screen;Edit personal info, profile photo, save changes;;
M21;Address Book Screen;Saved addresses, add/edit/delete, set default;;
M22;Payment Methods Screen;Saved cards, add new card, delete card, set default;;
M23;Seller Dashboard Screen;Sales overview, charts, pending orders, quick actions;;
M24;My Listings Screen;Product list, edit/delete, stock status, sales data;;
M25;Add Product Screen;Product form, camera integration, image upload, save draft;;
M26;Seller Orders Screen;Incoming orders, fulfill action, shipping labels;;
M27;Messages/Inbox Screen;Message threads, unread badge, search, new message;;
M28;Chat/Message Thread Screen;Conversation view, send message, attach photo, product context;;
M29;Notifications Screen;All notifications, mark as read, filter by type;;
M30;Trade Listings Screen;Available trades, filters, search;;
M31;Create Trade Screen;Select items, trade terms, message, submit;MOBİLDEKİ HER ŞEYE TEKRAR BAKILMASI LAZIM AMA GENEL OLARAK HER ŞEY VAR;
M32;My Trades Screen;Active trades, offers sent/received, status;;
M33;Settings Screen;Account settings, notifications, language, theme, logout;;
M34;Notifications Settings Screen;Toggle notification types, sound, vibration;;
M35;Language Settings Screen;Select language, apply changes;;
M36;About Screen;App version, company info, contact, social links;;
M37;Help/FAQ Screen;Categorized FAQs, search, contact support;;
M38;Reviews Screen;Write review, rating, photo upload, submit;;
M39;Filter Screen;All filters, price range slider, apply filters;;
M40;Sort Options Screen;Sort by price, popularity, rating, newest;;
