Page Name;Category;Key Features/Components;User Type;;;
Homepage;Core;Hero banner, featured products, categories, new arrivals, best sellers, search bar, promo banners;All Users;;;
Product Listing Page;Core;Product grid/list view, filters (brand, scale, price, condition), sorting, pagination;All Users;;;
Product Detail Page;Core;Images (zoom, 360° view), specs, price, add to cart, reviews, related products, seller info;All Users;;360 view;
Search Results Page;Core;"Search results, filters, sorting, suggestions, ""did you mean"", recent searches";All Users;;elastic search güclenebilir;
Shopping Cart;Core;Cart items, quantity adjustment, remove items, promo code, estimated total, save for later;Buyers;;;
Checkout Page;Core;Shipping address, billing address, delivery options, payment method selection;Buyers;;;
Payment Page;Core;Payment form, saved cards, new card entry, security badges, order summary;Buyers;;saved cards;
Order Confirmation Page;Core;Order details, order number, estimated delivery, download invoice, track order button;Buyers;;download invoice , estimated delivery api gerekli;
Collections Page;Browse;Curated collections (limited editions, vintage, racing, etc.), collection cards;All Users;;koleksiyonlara kategori gerekiyor uçak koleksiyonları vb.;
Manufacturers Page;Browse;List of all manufacturers (Hot Wheels, Matchbox, etc.), brand logos, product count;All Users;;;
Manufacturer Detail Page;Browse;Brand info, all products by manufacturer, filters, brand story;All Users;;manufacturer page , car model page , scales page ayrı olarak yok ilanlarımda filtrelenebilir;
Car Models Page;Browse;Browse by real car model (Ford Mustang, Porsche 911, etc.), model images;All Users;;;
Car Model Detail Page;Browse;All diecast versions of specific car model, variations, scales available;All Users;;;
Scales Page;Browse;Browse by scale (1:18, 1:24, 1:43, 1:64, etc.), scale comparison guide;All Users;;;
Scale Detail Page;Browse;All products in specific scale, size comparison, popular models;All Users;;;
New Arrivals Page;Browse;Recently added products, sorted by date, filters;All Users;;;
Best Sellers Page;Browse;Top selling products, trending items, popularity metrics;All Users;;popularity mantığı soru işareti, top selling products mantığı yok şu an ;
Discounted Items Page;Browse;Sale products, discount percentage, original vs sale price, expiry timer;All Users;;;
Accessories Page;Browse;Display cases, storage, tools, parts, filters by accessory type;All Users;;;
Car Sets Page;Browse;Multi-pack sets, themed collections, bundle deals;All Users;;;
Pre-Orders Page;Browse;Upcoming releases, pre-order products, release dates;All Users;;;
Limited Editions Page;Browse;Rare and limited edition models, numbered editions, exclusives;All Users;;;
Registration Page;Account;Sign up form, email verification, social login options, terms acceptance;Guest;;;
Login Page;Account;Email/password login, social login, remember me, forgot password link;Guest;;;
My Account Dashboard;Account;Overview of orders, wishlist, saved addresses, account stats, quick actions;Buyers;;;
My Orders Page;Account;Order history, order status, tracking, reorder, download invoices;Buyers;;re order ?;
Order Detail Page;Account;Specific order details, items, tracking info, shipping address, invoice;Buyers;;;
Order Tracking Page;Account;Real-time tracking, delivery status, carrier info, estimated delivery;Buyers;;api gerekli;
My Wishlist Page;Account;Saved products, add to cart, remove, share wishlist;Buyers;;;
My Profile Page;Account;Personal info, profile picture, contact details, preferences;All Users;;;
Address Book Page;Account;Saved addresses, add/edit/delete, set default shipping/billing;Buyers;;;
Payment Methods Page;Account;Saved payment methods, add/remove cards, set default;Buyers;;;
My Reviews Page;Account;User's product reviews, edit reviews, review history;Buyers;;;
Account Settings Page;Account;Email preferences, notifications, privacy settings, language, currency;All Users;;currency soru işareti;
Change Password Page;Account;Current password, new password, confirm password;All Users;;;
Forgot Password Page;Account;Email input, send reset link, confirmation message;Guest;;;
Reset Password Page;Account;New password entry, confirm password, token validation;Guest;;;
Email Verification Page;Account;Verify email token, success/error message, resend link;All Users;;;
Sell on This Website Page;Seller;Seller benefits, how to sell, requirements, signup CTA, success stories;All Users;;bu olacak mı ?;
Seller Registration Page;Seller;Seller application form, business details, verification documents upload;Guest;;;
Seller Dashboard;Seller;Sales overview, pending orders, inventory, analytics, quick actions;Sellers;;;
My Listings Page;Seller;All seller's products, edit/delete listings, stock status, sales data;Sellers;;;
Add Product Page;Seller;Product form (title, description, images, price, specs, inventory);Sellers;;;
Edit Product Page;Seller;Modify existing product details, update images, adjust pricing;Sellers;;;
Seller Orders Page;Seller;Incoming orders, order status, fulfillment actions, shipping labels;Sellers;;;
Seller Analytics Page;Seller;Sales reports, top products, revenue charts, customer insights;Sellers;;;
Seller Profile Page;Seller;Public seller profile, ratings, reviews, product catalog, about seller;All Users;;;
Trade/Swap Listings Page;Trade;Available items for trade, trade offers, filters, search;All Users;;;
Create Trade Offer Page;Trade;Select items to trade, propose trade terms, add message;Buyers/Sellers;;;
My Trade Offers Page;Trade;Sent/received trade offers, accept/reject/counter, negotiation thread;Buyers/Sellers;;;
Trade Detail Page;Trade;Trade terms, items involved, messages, accept/decline actions;Buyers/Sellers;;;
Messages/Inbox Page;Communication;Message threads, unread count, search messages, archive;All Users;;;
Message Thread Page;Communication;Conversation view, send message, attach images, product context;All Users;;attach image yok;
Contact Seller Page;Communication;Message form to contact seller about specific product;Buyers;;;
Notifications Page;Communication;All notifications, order updates, messages, trade offers, mark as read;All Users;;read unread yok;
Membership Plans Page;Membership;Membership tiers, benefits comparison, pricing, features list;All Users;;;
Membership Signup Page;Membership;Select plan, payment info, membership benefits summary;Buyers;;;
My Membership Page;Membership;Current plan, benefits, usage stats, upgrade/downgrade options;Members;;downgrade yok;
About Us Page;Information;Company story, mission, team, values, milestones;All Users;;;
Contact Us Page;Information;Contact form, email, phone, address, social media links, map;All Users;;;
FAQ Page;Information;Categorized FAQs, search, expandable Q&A, helpful links;All Users;;;
Help Center Page;Information;Help topics, guides, tutorials, search, popular articles;All Users;;tutorials olacak mı ?;
Shipping & Delivery Page;Information;Shipping methods, costs, delivery times, international shipping, tracking;All Users;;api gerekli;
Returns & Exchanges Page;Information;Return policy, exchange process, refund timeline, conditions;All Users;;;
Payment Options Page;Information;Accepted payment methods, payment security, installment options;All Users;;;
Security Features Page;Information;Security measures, buyer protection, secure payments, data privacy;All Users;;;
Size Guide Page;Information;Scale comparison chart, actual size measurements, scale explanations;All Users;;;
Authenticity Guarantee Page;Information;Authentication process, counterfeit protection, verification badges;All Users;;;
Collector's Guide Page;Information;Collecting tips, grading system, storage advice, valuation info;All Users;;;
Privacy Policy Page;Legal;Data collection, usage, sharing, cookies, user rights, GDPR compliance;All Users;;;
Terms of Service Page;Legal;User agreement, rules, liability, account terms, marketplace rules;All Users;;;
Cookie Policy Page;Legal;Cookie types, usage, management, consent options;All Users;;;
Refund Policy Page;Legal;Refund conditions, process, timeline, exceptions;All Users;;;
Seller Agreement Page;Legal;Seller terms, commission, rules, prohibited items, account suspension;Sellers;;;
Buyer Protection Page;Legal;Purchase protection, dispute resolution, money-back guarantee;Buyers;;;
Intellectual Property Page;Legal;Copyright, trademark policy, DMCA, reporting infringement;All Users;;;
Sitemap Page;Utility;HTML sitemap, all page links organized by category;All Users;;tekrar bakılması gerekiyor;
404 Error Page;Utility;Custom 404, search bar, popular categories, homepage link;All Users;;;
500 Error Page;Utility;Server error message, refresh option, contact support;All Users;;;
