Metric;Target;Measurement Method;;
Page Load Time (Desktop);< 2 seconds;Google PageSpeed Insights, Lighthouse;;
Page Load Time (Mobile);< 3 seconds;Google PageSpeed Insights, Lighthouse;;
Time to First Byte (TTFB);< 200ms;Chrome DevTools, WebPageTest;;
First Contentful Paint (FCP);< 1.8 seconds;Lighthouse, Web Vitals;;
Largest Contentful Paint (LCP);< 2.5 seconds;Lighthouse, Web Vitals;;
First Input Delay (FID);< 100ms;Lighthouse, Web Vitals;;
Cumulative Layout Shift (CLS);< 0.1;Lighthouse, Web Vitals;;
API Response Time (avg);< 200ms;Application monitoring (New Relic/Datadog);;
API Response Time (95th %ile);< 500ms;Application monitoring;;
Database Query Time (avg);< 50ms;Database monitoring, query logs;;
Server Response Time;< 100ms;Uptime monitoring, APM tools;;
Mobile App Launch Time;< 2 seconds;Firebase Performance, App analytics;;
Search Results Time;< 1 second;Application logs, user analytics;;
Image Load Time;< 1 second;Browser DevTools, synthetic monitoring;;
Uptime;99.9%;Uptime monitoring (Pingdom/UptimeRobot);;
Error Rate;< 0.1%;Error tracking (Sentry), application logs;;
Concurrent Users Capacity;500-1000;Load testing (JMeter/Artillery);;
Cache Hit Rate;> 80%;Redis monitoring, CDN analytics;;
SSL Handshake Time;< 100ms;SSL testing tools;;
DNS Lookup Time;< 50ms;DNS monitoring tools;;
